Business Name,Address,City,State,Zip Code,Business Type,IT Type,Business Description,Year Established,Website,Longitude,Latitude,Location
Q-State Biosciences,179 Sidney St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Life Science, Pharmaceutical",Q-State has developed world-leading technologies and proprietary approaches for probing rare and genetic CNS conditions.,01/01/2013 12:00:00 AM,http://www.qstatebio.com,-71.1052841,42.3584181,POINT (-71.1052841 42.3584181)
Elstar Therapeutics,840 Memorial Dr 4th Floor,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Therapeutics",Fulfilling the promise of precision cancer immunotherapy through a powerful new approach to generating multi-functional therapeutics.,01/01/2015 12:00:00 AM,http://elstartherapeutics.com/,-71.1153282,42.3631032,POINT (-71.1153282 42.3631032)
X4 Pharmaceuticals,100 Acorn Park Dr # 5,Cambridge,MA,02140,Life Sciences,"Biotechnology, Clinical Trials, Health Care, Oncology, Pharmaceutical, Therapeutics",X4 Pharmaceuticals is a clinical-stage oncology company developing oral small molecule CXCR4 antagonists for the treatment.,01/01/2014 12:00:00 AM,https://www.x4pharma.com,-71.1497732,42.397933,POINT (-71.1497732 42.397933)
EnClear Therapies,700 Main St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Therapeutics",EnClear Therapies is a biotechnology company developing device-based therapies for the treatment of neurodegenerative disease,01/01/2018 12:00:00 AM,https://www.encleartherapies.com/,-71.095144,42.3623444,POINT (-71.095144 42.3623444)
XGenomes,37 Spinelli Pl,Cambridge,MA,02138,Life Sciences,"Biotechnology, Health Care, Medical",XGenomes operates as a developer of DNA sequencing technologies.,01/01/2017 12:00:00 AM,http://www.xgenomes.com/,-71.1539177,42.392305,POINT (-71.1539177 42.392305)
Vibrant Composites,43 Thorndike St,Cambridge,MA,02141,Life Sciences,"Biotechnology, Health Care",Vibrant Composites provides biotechnology research and development services.,01/01/2013 12:00:00 AM,https://vibrantcomposites.com/,-71.0789493,42.3698419,POINT (-71.0789493 42.3698419)
Datawheel,1299 Cambridge St,Cambridge,MA,02139,Technology,"Analytics, Big Data, Data Visualization, Information Technology","Datawheel brings data closer to people with easy-to-use and informative automated reports, transforming data into stories.",01/01/2013 12:00:00 AM,http://www.datawheel.us,-71.0992783,42.373683,POINT (-71.0992783 42.373683)
Openbay,317 Fresh Pond Pkwy,Cambridge,MA,02138,Technology,"Automotive, Internet, Marketplace, Messaging, SaaS, Software",Openbay is an online e-commerce marketplace for automotive repair and services.,01/01/2012 12:00:00 AM,https://app.openbay.com,-71.1409439,42.3849018,POINT (-71.1409439 42.3849018)
Revela Biotech,675 Massachusetts Ave,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device, Oncology",Revela Biotech develops an ImmunoPET imaging solution for cancer diagnosis.,01/01/2017 12:00:00 AM,https://revela.bio/,-71.1039555,42.3658768,POINT (-71.1039555 42.3658768)
NovoBiotic Pharmaceuticals,767 Concord Ave C,Cambridge,MA,02138,Life Sciences,"Biotechnology, Pharmaceutical","NovoBiotic Pharmaceuticals is a privately held, early stage biotechnology company focused on the discovery and development.",01/01/2003 12:00:00 AM,https://www.novobiotic.com/,-71.1532209,42.392913,POINT (-71.1532209 42.392913)
Kernal Biologics,238 Main St,Cambridge,MA,02142,Life Sciences,"Biotechnology, Pharmaceutical, Therapeutics",Kernalbio creates mRNA therapies that instruct specific cells on how to make their own medicine.,08/01/2016 12:00:00 AM,https://www.kernalbio.com/,-71.0846052,42.3621273,POINT (-71.0846052 42.3621273)
AnTolRx,245 First St #1800,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care",Our lead program addresses significant unmet needs in the field of Type 1 Diabetes,01/01/2015 12:00:00 AM,http://antolrx.com/,-71.0790784,42.3635819,POINT (-71.0790784 42.3635819)
Solo.io,222 Third St,Cambridge,MA,02142,Technology,"Apps, Cloud Computing, Developer APIs, Internet, Software","Solo.io simplifies how to secure and scale cloud-native applications, using the industries' leading application networking platform.",09/01/2017 12:00:00 AM,https://www.solo.io,-71.081001,42.3670575,POINT (-71.081001 42.3670575)
Portal Instruments,190 5th St,Cambridge,MA,02141,Life Sciences,"Health Care, Medical, Medical Device, Pharmaceutical",Portal Instruments is an early stage company that offers medical device.,01/01/2012 12:00:00 AM,http://www.portalinstruments.com/,-71.0839456,42.3674499,POINT (-71.0839456 42.3674499)
MetaCell,222 Third St #2323,Cambridge,MA,02142,Technology,"Big Data, Bioinformatics, Life Science, Neuroscience, Simulation, Software",Cutting edge Software for Life Science and Neuroscience,07/29/2011 12:00:00 AM,http://www.metacell.us/,-71.0802024,42.3671614,POINT (-71.0802024 42.3671614)
Genflow Biosciences,301 Binney St,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care",GenFlow Biosciences is a biotech company that develops gene therapies for slow or reverse aging in dogs and humans.,01/01/2020 12:00:00 AM,https://genflowbio.com/,-71.0873814,42.3666656,POINT (-71.0873814 42.3666656)
Sense,485 Massachusetts Ave #3,Cambridge,MA,02139,Technology,"Consumer Electronics, GreenTech, Hardware, Internet of Things, Smart Home, Software, Speech Recognition",Sense specializes in tracking devices and home automation solutions for its customers.,01/01/2013 12:00:00 AM,https://sense.com/,-71.101249,42.3641559,POINT (-71.101249 42.3641559)
Navya Network,1 Broadway,Cambridge,MA,02142,Technology,"Health Care, Medical, Medical Device, Software",Navya is a provider of patient care services used to help patients make expert treatment decisions for complex medical conditions.,01/01/2010 12:00:00 AM,https://www.navyanetwork.com/,86.1487246,22.8061942,POINT (86.1487246 22.8061942)
Ring Therapeutics,140 First St Suite 401,Cambridge,MA,02141,Life Sciences,"Biotechnology, Health Care, Therapeutics",Ring Therapeutics is a gene therapy company focused on discovering and developing programmable genetic medicines.,01/01/2017 12:00:00 AM,http://www.ringtx.com,-71.0775205,42.3665757,POINT (-71.0775205 42.3665757)
Harbour Antibodies,700 Technology Square 5th floor,Cambridge,MA,02139,Life Sciences,"Biotechnology, Pharmaceutical, Therapeutics",Harbour Antibodies uses transgenic mouse technology for engineering mice to produce high affinity human antibodies.,01/01/2006 12:00:00 AM,http://harbourantibodies.com,-71.092749,42.3640186,POINT (-71.092749 42.3640186)
Pegasystems,1 Main St,Cambridge,MA,02142,Technology,"Artificial Intelligence (AI), CRM, Robotic Process Automation (RPA), Software",PegaSystems provides business process and customer relationship management solutions for organizations.,04/21/1983 12:00:00 AM,http://www.pega.com,-71.0799978,42.3621772,POINT (-71.0799978 42.3621772)
Fulcrum Therapeutics,26 Landsdowne St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Genetics, Health Care, Therapeutics",Fulcrum Therapeutics is a biotechnology company that focuses on identifying and treating rare genetic diseases at their root cause.,01/01/2016 12:00:00 AM,http://www.fulcrumtx.com,-71.0986552,42.3608858,POINT (-71.0986552 42.3608858)
EyeNetra,47 Third St #300,Cambridge,MA,02141,Technology,"Health Care, Health Diagnostics, Medical, Medical Device, Software",EyeNetra is a developer of an eye diagnostics platform used to measure the correction of users' vision through smartphone-based technology.,10/13/2011 12:00:00 AM,http://eyenetra.com,-71.080085,42.3713841,POINT (-71.080085 42.3713841)
Holobiome,2067 Massachusetts Ave,Cambridge,MA,02140,Life Sciences,"Health Care, Medical, Pharmaceutical, Therapeutics",Holobiome is an owner and operator of a therapeutic company intended to treat diseases of the enteric and central nervous systems.,01/01/2015 12:00:00 AM,https://holobiome.org/,-71.122895,42.391592,POINT (-71.122895 42.391592)
Opsonix,27 Peabody Terrace #31,Cambridge,MA,02138,Life Sciences,"Biotechnology, Health Care, Medical, Therapeutics",Opsonix is a developer of a pathogen-extracting therapy designed to transform the treatment of bloodstream infections and sepsis.,01/01/2014 12:00:00 AM,http://opsonixbio.com/,-71.1152824,42.3661734,POINT (-71.1152824 42.3661734)
The cabinet app,678 Massachusetts Ave,Cambridge,MA,02139,Technology,"Business Information Systems, Online Portals, Software","The Cabinet app provides relationships between stakeholders, triple bottom line organisations, and individuals to build their growth.",,https://www.cabinet.ai/,-71.1044598,42.3655108,POINT (-71.1044598 42.3655108)
Akarna Therapeutics,245 First St #1400,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Medical, Therapeutics","At Akarna, our mission is to develop best-Â­in-Â­class treatments for NASH and other chronic liver diseases",10/01/2014 12:00:00 AM,http://www.akarna.com/,-71.0790258,42.363518,POINT (-71.0790258 42.363518)
Ultivue,763D Concord Ave,Cambridge,MA,02138,Life Sciences,"Biopharma, Biotechnology, Pharmaceutical","Ultivue is a biotechnology company that specializes in tissue imaging, diagnostics, and multiplexing.",01/01/2015 12:00:00 AM,http://www.ultivue.com/,-71.1526281,42.3927862,POINT (-71.1526281 42.3927862)
Shareaholic,992 Memorial Dr #605,Cambridge,MA,02138,Technology,"Advertising, Analytics, Big Data, Content, Content Discovery, Content Marketing, Digital Marketing, Email Marketing, Social Media Marketing, Software","Shareaholic is an Audience Engagement platform that helps over 300,000 businesses grow audience engagement, loyalty & conversions.",08/01/2009 12:00:00 AM,https://shareaholic.com,-71.1262848,42.3735563,POINT (-71.1262848 42.3735563)
Novopyxis,1 Broadway,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Medical, Therapeutics",Novopyxis is a biotechnology company dedicated to the development of therapeutics and medical devices.,01/01/2013 12:00:00 AM,http://novopyxis.com,-71.0839181,42.3628299,POINT (-71.0839181 42.3628299)
Cargene,85 Bolton St,Cambridge,MA,02140,Life Sciences,"Biopharma, Biotechnology, Therapeutics",Cargene is a preclinical-stage biopharmaceutical company developing oligonucleotide therapeutics across a broad range of diseases.,01/01/2020 12:00:00 AM,https://www.cargene.com/,-71.1308332,42.3901599,POINT (-71.1308332 42.3901599)
HealthRhythms,125 Cambridgepark Dr,Cambridge,MA,02140,Technology,"Health Care, Machine Learning, Mental Health, Mobile, Sensor",HealthRhythms develops a mental health assessment and treatment platform to measure and monitor health conditions.,05/01/2014 12:00:00 AM,https://www.healthrhythms.com,-71.1457992,42.3952207,POINT (-71.1457992 42.3952207)
Design Pharmaceuticals,155 Brookline St #005,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Pharmaceutical",Design Pharma has a unique suite of proprietary technologies that enable the discovery and biosynthetic production of drug candidates.,01/01/2018 12:00:00 AM,https://www.designpharmaceuticals.com/,-71.1052179,42.3604236,POINT (-71.1052179 42.3604236)
ReNAgade Therapeutics,640 Memorial Dr,Cambridge,MA,02139,Life Sciences,"Biotechnology, Medical, Therapeutics",ReNAgade TherapeuticsÂ focuses onÂ the boundless potential of RNA therapeutics to treat disease.,01/01/2021 12:00:00 AM,https://renagadetx.com,-71.1095261,42.3542788,POINT (-71.1095261 42.3542788)
ConcertAI,1120 Massachusetts Ave,Cambridge,MA,02138,Technology,"Analytics, Artificial Intelligence (AI), Biotechnology, Oncology, Pharmaceutical, SaaS",ConcertAI is an AI-powered SaaS data company in healthcare that develops medical research tool in oncology.,01/01/2018 12:00:00 AM,https://www.concertai.com,-71.1139826,42.3706287,POINT (-71.1139826 42.3706287)
Themis AI,1 Kendall Square,Cambridge,MA,02139,Technology,"Artificial Intelligence (AI), Information Technology, Machine Learning","Themis AI makes any ML model uncertainty-aware with a single line of code, automatically empowering it to provide reliable results.",01/01/2021 12:00:00 AM,https://themisai.io/,-71.0910916,42.3663393,POINT (-71.0910916 42.3663393)
Aquinnah Pharmaceuticals,750 Main St,Cambridge,MA,02139,Life Sciences,"Health Care, Hospital, Medical, Pharmaceutical",Aquinnah Pharmaceuticals is a National Institute of Neurological Disorders and Stroke,01/01/2006 12:00:00 AM,http://aquinnahpharma.com,-71.0962732,42.3627991,POINT (-71.0962732 42.3627991)
